SMILES,EA,IE
CC(NC(=O)N1CCc2ccccc21)c1ccc(Br)cc1,2.088721,5.798147
CC(C)OC(=O)C1=C(C)NC2=C(C(=O)C(C(=O)OC)C(C)C2)C1c1cccs1,2.128037,6.014198
CC1CC(C)CN(S(=O)(=O)NCCOCCOC)C1,0.473057,6.56069
OC1=C[C@H]2C[C@@H]12,0.647661,5.589815
COc1cc(C=C2C(=O)NC(=O)NC2=O)cc(Br)c1OCc1cccs1,3.345383,6.28383
Oc1ccc(-c2cc(-c3ccc4c(c3)OCO4)n[nH]2)cc1O,1.31092,5.658937
CCOC(=O)CNC(=O)c1cc(-c2ccc(O)cc2)no1,2.131658,6.417654
CC(C)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,1.647412,5.48735
CCC(CO)NC(=O)Nc1ccc(C(N)=O)cn1,1.790373,6.563487
CC(=O)c1cc(CN2CCN(Cc3ccncc3)CC2)nc(C)n1,2.292467,5.502053
