SMILES,EA,IE
COc1ccc(NC(=O)c2ccc(OC)c(OC)c2)cc1,1.579423,5.67584
O=C(C=Cc1cccc([N+](=O)[O-])c1)NCC1CCCO1,3.131946,6.749963
COCCOCOc1ccc(C(Cl)(Cl)Cl)s1,3.958137,6.03345
O=C(c1ccc(Cl)cc1)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,1.724719,6.892838
COC(=O)c1cc(S(=O)(=O)Nc2cc(C)ccc2C)ccc1Cl,2.395226,6.300323
CCC(=O)c1ccc(NC(=O)c2ccc(OC)c(OC)c2)cc1,2.095423,6.132491
COc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C)cc2)c2ccccc2)cc1,3.182404,6.236328
O=C1NC(=O)N(Cc2ccccc2)C1=O,3.059531,7.147818
COC(=O)c1cc(S(=O)(=O)Nc2ccc(OC)c(OC)c2)ccc1Cl,2.431631,5.826759
CCOC(=O)C1=C(CN2CCCC2)NC(=O)NC1c1ccccc1,1.792925,5.745427
