SMILES,EA,IE
O=C[C@@]12C[C@]1(O)CO2,1.751324,5.258836
CCc1ccccc1N1CC(C(=O)OCC(=O)NCc2ccccc2)CC1=O,1.192214,6.343206
C#Cc1cccc2c1NSN2C(C)(C)C,3.322735,4.735342
CCc1[nH]c2ccc(C(=O)N3CCN(CC(C)C)CC3)cc2n1,1.326802,5.634583
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)N3CCCC3)cc2)cc1,1.600348,6.810379
O=C(c1cc(F)cc(F)c1)N1CCC(n2nnc3ccccc3c2=O)CC1,2.376893,7.147771
Cc1cc(Cl)ccc1NC(=O)CN(C)CC(=O)NC(C)(C)C,1.179675,5.705052
COc1ccc(C(=O)OCC(=O)Nc2ccc3c(c2)OCCO3)cc1OCC,2.103322,5.852349
CN(C)S(=O)(=O)c1cc(C(F)(F)F)ccc1Cl,2.312459,6.852578
CN(C)c1cc(C(F)(F)F)cc2c1NSN2,3.274661,5.069917
